kota,kecamatan,kelurahan,rt_rw,pemanfaat_sambungan_rumah,kepala_keluarga_(kk)_pemanfaat,pemanfaat_kk_masyarakat_berpenghasilan_rendah,jumlah_jiwa_pemanfaat
Jakarta Pusat,Menteng,Menteng,"RT.06, 07, RW. 01",75,97,40,354
Jakarta Pusat,Menteng,Menteng,"RT.08, 09, RW. 01",55,72,30,303
Jakarta Pusat,Menteng,Menteng,"RT.13, 14, RW. 01",51,63,32,251
Jakarta Pusat,Kemayoran,Kemayoran,RT.07  RW.07,55,56,35,269
Jakarta Selatan,Cilandak,Pondok Labu,RT.07  RW.07,71,82,43,260
Jakarta Selatan,Kebayoran Lama,Cipulir,RT.01  RW.06,19,50,40,215
Jakarta Selatan,Pancoran,Rawajati,"RT. 03, 04  RW.01",73,104,32,386
Jakarta Barat,Kalideres,Tegal Alur,RT.01 RW.01,42,43,35,256
Jakarta Barat,Kalideres,Tegal Alur,RT.03 RW.01,55,55,41,256
Jakarta Barat,Kalideres,Tegal Alur,RT.05 RW.01,32,51,40,220
Jakarta Barat,Kalideres,Tegal Alur,RT.10 RW.09,14,14,14,321
Jakarta Barat,Kalideres,Tegal Alur,RT.03 RW.12,60,92,45,401
Jakarta Barat,Palmerah,Palmerah,RT.04 RW.04,44,58,34,232
Jakarta Barat,Palmerah,Palmerah,"RT.10, 11  RW.04",52,70,45,240
Jakarta Barat,Tomang,Tomang,RT.05 RW.04,70,90,50,441
Jakarta Barat,Tomang,Tomang,RW.08 RW.04,70,90,50,441
Jakarta Timur,Makasar,Makasar,RT.18  RW.03,75,83,38,380
Jakarta Timur,Ciracas,Rambutan,RT.7  RW.03,89,94,35,358
Jakarta Timur,Makasar,Makasar,RT.06 RW.07,46,52,20,201
Jakarta Utara,Tanjung Priuk,Sungai Bambu,RT.03 RW.04,62,110,40,384
Jakarta Utara,Tanjung Priuk,Sungai Bambu,RT.06 RW.04,56,79,40,414
Jakarta Utara,Koja,Rawa Badak Selatan,RT.03 RW.01,65,80,30,320
Jakarta Utara,Koja,Rawa Badak Selatan,RT.08 RW.01,76,76,32,300
